Player,Market Value
Dan Burn,€9.1M
Matz Sels,€9.1M
José Sá,€8.5M
Nélson Semedo,€8.4M
Rodrigo Muniz,€8.2M
Adama Traoré,€8M
Chris Wood,€7.8M
Ethan Pinnock,€7.6M
Lewis Dunk,€7.4M
Joe Aribo,€6.9M
Danny Welbeck,€6M
Abdoulaye Doucouré,€5.8M
Stefan Ortega,€5.8M
Tyrone Mings,€5.8M
Joël Veltman,€5.7M
Ben Davies,€5.6M
Kieran Trippier,€5.1M
Raúl Jiménez,€5.1M
Axel Tuanzebe,€4.2M
Christian Eriksen,€4.2M
Matt Doherty,€4.2M
Jordan Ayew,€4.2M
Ryan Manning,€3.9M
Conor Coady,€2.2M
Wes Burns,€2.1M
Jannik Vestergaard,€2M
Luke Woolfenden,€2M
Cameron Burgess,€1.7M
Adam Smith,€1.5M
Craig Dawson,€1.5M
Jack Stephens,€1.4M
Ashley Young,€1.3M
Sam Morsy,€1.3M
Jamie Vardy,€1M
Łukasz Fabiański,€0.9M
