Rk,Player,Nation,Position,Team,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Minutes,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,2CrdY,Fls,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
419,Aaron Ramsdale,eng ENG,GK,Southampton,26-353,1998,26,26,2340,26.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2340,60,2.31,169,107,67.5,2,4,20,2,7.7,5,2,0,28.6,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,N/a,0.0,0.0,691,1073,64.4,19407,15067,196,197,99.5,260,271,95.9,229,592,38.7,0.1,0.0,0,32,1,0,3,0.12,2,1,0,0,0,0,0.00,0,0,0,0,0,0,1154,835,1132,25,0,0,1154,0,N/a,0,N/a,701,0,2,0,628,0,1,0,0,2,0,0,0,0,19,5,0,100.0
112,Aaron Cresswell,eng ENG,DF,West Ham,35-138,1989,14,7,589,6.5,0,0,0,0,0,0,2,0,0.1,0.1,1.1,1.3,4,24,2,0.00,0.00,0.00,0.00,0.00,0.02,0.17,0.19,0.02,0.19,Matches,589,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,3,0,0.0,0.46,0.00,0.00,N/a,29.8,2,0.04,-0.1,-0.1,355,440,80.7,6769,2697,157,173,90.8,152,177,85.9,45,82,54.9,1.2,-1.1,7,40,4,1,12,1.83,5,7,0,0,0,0,0.00,0,0,0,0,0,0,495,33,196,236,68,1,495,1,100.0,0,0.0,200,0,3,0,312,0,3,0,27,6,4,0,0,0,21,7,6,53.8
536,Aaron Wan-Bissaka,eng ENG,DF,West Ham,27-157,1997,32,31,2794,31.0,2,2,4,2,0,0,1,0,1.2,1.2,2.9,4.0,98,125,139,0.06,0.06,0.13,0.06,0.13,0.04,0.09,0.13,0.04,0.13,Matches,2794,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,15,5,33.3,0.48,0.16,0.13,0.40,15.3,0,0.08,+0.8,+0.8,1277,1575,81.1,18273,6722,812,902,90.0,401,489,82.0,46,97,47.4,2.4,-0.9,29,89,30,11,83,2.67,66,4,7,1,2,7,0.23,6,0,0,1,0,0,1960,136,620,838,531,40,1960,54,53.5,35,34.7,933,12,28,21,1135,0,22,4,64,59,43,0,0,1,155,22,29,43.1
146,Abdoulaye Doucouré,ml MLI,MF,Everton,32-121,1993,30,29,2425,26.9,3,1,4,3,0,0,5,1,3.9,3.9,2.3,6.2,40,78,91,0.11,0.04,0.15,0.11,0.15,0.14,0.09,0.23,0.14,0.23,Matches,2425,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,29,9,31.0,1.08,0.33,0.10,0.33,13.8,0,0.13,-0.9,-0.9,676,849,79.6,10229,2133,354,416,85.1,250,301,83.1,40,55,72.7,1.2,-1.3,26,44,14,0,54,2.00,48,0,3,0,1,2,0.07,1,0,0,0,0,1,1090,31,218,502,385,59,1090,23,53.5,20,46.5,571,8,33,35,705,1,46,10,23,9,27,0,0,0,139,29,43,40.3
279,Abdukodir Khusanov,uz UZB,DF,Manchester City,21-062,2004,6,6,503,5.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,25,2,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,503,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1,0,0.0,0.18,0.00,0.00,N/a,23.9,0,0.02,0.0,0.0,360,395,91.1,6126,1976,160,169,94.7,191,197,97.0,6,23,26.1,0.1,-0.1,2,23,0,0,5,0.89,5,0,0,0,0,0,0.00,0,0,0,0,0,0,445,45,205,211,31,1,445,0,0.0,2,100.0,274,0,2,1,332,0,3,0,1,3,4,0,0,1,27,6,4,60.0
175,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,21-055,2004,11,6,579,6.4,0,2,2,0,0,0,0,0,0.4,0.4,1.6,2.0,42,17,60,0.00,0.31,0.31,0.00,0.31,0.06,0.24,0.31,0.06,0.31,Matches,579,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,13,5,38.5,2.02,0.78,0.00,0.00,31.2,0,0.03,-0.4,-0.4,123,197,62.4,2150,601,59,81,72.8,45,59,76.3,16,33,48.5,1.4,+0.4,6,7,7,2,17,2.64,10,0,2,4,0,3,0.47,2,0,0,1,0,0,326,19,73,114,157,26,326,29,42.0,28,40.6,217,15,18,12,216,0,11,2,30,4,15,0,0,0,38,14,13,51.9
293,Adam Lallana,eng ENG,MF,Southampton,36-357,1988,14,5,361,4.0,0,2,2,0,0,0,4,0,0.2,0.2,0.9,1.1,6,24,10,0.00,0.50,0.50,0.00,0.50,0.04,0.23,0.27,0.04,0.27,Matches,361,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,3,0,0.0,0.75,0.00,0.00,N/a,18.1,0,0.06,-0.2,-0.2,221,260,85.0,2891,980,147,165,89.1,61,67,91.0,4,9,44.4,0.5,+1.1,4,21,9,3,9,2.24,8,0,0,1,0,2,0.50,2,0,0,0,0,0,318,19,91,155,73,6,318,5,41.7,5,41.7,178,0,10,6,245,0,8,0,4,5,5,0,0,0,19,2,2,50.0
33,Adam Armstrong,eng ENG,"FW,MF",Southampton,28-081,1997,20,15,1248,13.9,2,2,4,2,0,1,4,0,3.3,2.3,1.2,3.5,25,21,79,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25,Matches,1248,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,25,7,28.0,1.80,0.50,0.08,0.29,16.6,0,0.09,-1.3,-0.3,231,288,80.2,3320,446,138,158,87.3,81,95,85.3,6,13,46.2,0.6,+0.8,9,10,8,2,19,1.37,12,1,2,0,0,4,0.29,1,0,0,3,0,0,377,11,44,143,192,49,376,6,42.9,8,57.1,235,6,11,18,286,0,12,9,14,3,3,0,0,0,23,5,9,35.7
542,Adam Webster,eng ENG,DF,Brighton,30-118,1995,11,8,617,6.9,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,7,40,2,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.08,0.00,0.08,Matches,617,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1,1,100.0,0.15,0.15,0.00,0.00,15.3,0,0.02,0.0,0.0,429,501,85.6,7934,3140,169,177,95.5,213,232,91.8,40,79,50.6,0.2,-0.5,3,32,2,0,10,1.46,8,2,0,0,0,3,0.44,2,1,0,0,0,0,569,84,279,271,22,8,569,1,33.3,2,66.7,326,0,3,1,384,0,5,1,1,14,5,0,1,0,20,17,4,81.0
472,Adam Smith,eng ENG,DF,Bournemouth,34-003,1991,22,17,1409,15.7,0,0,0,0,0,0,6,0,0.7,0.7,0.3,1.0,12,40,31,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches,1409,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,3,0,0.0,0.19,0.00,0.00,N/a,16.9,0,0.22,-0.7,-0.7,436,576,75.7,7088,2372,213,242,88.0,182,233,78.1,27,72,37.5,0.4,-0.3,7,41,8,5,20,1.28,15,1,1,2,1,2,0.13,1,0,0,0,1,0,707,39,217,332,162,6,707,6,40.0,6,40.0,305,0,10,6,333,0,15,0,30,14,10,0,0,0,43,12,13,48.0
